gene	traitSignificance	moduleMembership
AT1G02335	-0.47941451623114	0.677023701425523
AT1G05310	-0.458644365115772	0.614955894946
AT1G06230	0.17333152670606	0.573317069904259
AT1G08340	-0.569231873600421	0.856320375648802
AT1G09440	-0.390894307834301	0.552025141948326
AT1G11190	-0.520245293983509	0.787517061041595
AT1G12260	-0.476939910267899	0.841908278434822
AT1G14140	-0.18372250319336	0.528589429604956
AT1G14580	0.397458265061312	0.415292965058049
AT1G20850	-0.566573551379999	0.929258871233742
AT1G21810	-0.217021606177745	0.45988880936962
AT1G23460	-0.334500558606454	0.791380664823557
AT1G26820	-0.489598520596783	0.675573676202664
AT1G27440	-0.301099820337576	0.612116250246406
AT1G30900	-0.419236180690893	0.818652098055384
AT1G32100	-0.612127007466018	0.880268123921371
AT1G33480	0.185701091846858	0.56318275803041
AT1G33800	-0.352111729259878	0.786510321160252
AT1G43790	-0.492414874050793	0.723062982665995
AT1G47410	-0.303583825527753	0.604520243268801
AT1G48300	-0.55133263365419	0.623500823360609
AT1G54790	-0.524115988877392	0.760464318893001
AT1G55180	-0.362837842793883	0.625958586530973
AT1G58070	-0.497276845186333	0.893655609255435
AT1G58370	-0.411520665327506	0.540371444786304
AT1G62300	0.25384364851493	0.432617137900095
AT1G62990	-0.428910904175306	0.854460860416218
AT1G63120	-0.496900260011896	0.766933186835092
AT1G63300	-0.480344045190419	0.804694714269006
AT1G65950	0.195612407862655	0.455811619082393
AT1G70670	-0.272728005390211	0.593970267385009
AT1G75550	-0.285375229961983	0.633391214699783
AT1G76200	-0.286413957381861	0.548382720007947
AT1G78120	-0.163471477613259	0.678163516838228
AT1G79420	-0.219033702615586	0.490363539841115
AT1G79620	-0.155762872344717	0.527876009954226
AT2G06040	0.246316511855598	0.627388889583089
AT2G17710	-0.578150170872429	0.632930068647922
AT2G19280	0.455975241573146	0.572093433451465
AT2G22470	-0.43947802867101	0.680007585190505
AT2G27190	0.281907849879796	0.381863567396263
AT2G27740	-0.342634515854428	0.800273243909689
AT2G28315	-0.421655106808505	0.826426821710273
AT2G28760	-0.344901415086034	0.773504806029285
AT2G34410	-0.206020303713882	0.456704971651449
AT2G34790	-0.541970210326713	0.722839479881921
AT2G36290	0.395308642639793	0.646670944449753
AT2G38080	-0.441837178976526	0.900302604961856
AT2G38320	-0.515657493190635	0.919687988833161
AT2G40320	-0.173305685534547	0.710378296352265
AT2G41380	0.382284585463891	0.582716882234556
AT2G43750	-0.348122107666758	0.63159015516202
AT2G44260	-0.368168693522393	0.515612939944756
AT3G02860	0.424827585474371	0.54358000314046
AT3G03900	0.0035153582878921	0.322780773715675
AT3G06400	0.0638061801563399	0.541480041589945
AT3G10740	-0.309738548078989	0.430750098432415
AT3G14170	-0.543057864398952	0.810017846172864
AT3G16920	-0.460143508112161	0.879840460649845
AT3G18660	-0.308341794875087	0.760078152177801
AT3G19510	0.194566252545809	0.574291852622483
AT3G19620	-0.129708609354097	0.624853872244217
AT3G21550	-0.558427443131135	0.752640784729627
AT3G23910	-0.0118667000151656	0.466448130455139
AT3G25900	-0.493204564099133	0.851314639917532
AT3G27200	-0.308103560119642	0.775417990692113
AT3G45010	-0.497288960832583	0.631394388003551
AT3G47940	-0.460146368414217	0.514226775582308
AT3G51220	-0.312263316215087	0.715520292370352
AT3G51990	-0.255553749936188	0.591505454717897
AT3G52900	-0.301047763182176	0.753998276731302
AT3G53620	-0.332215499600674	0.620755361341904
AT3G54190	0.251399174311718	0.594193513847824
AT3G55990	-0.256133990549639	0.792440479244034
AT3G56320	0.265941991104331	0.556689665773251
AT3G59690	-0.442670355328067	0.69101107354222
AT3G61380	-0.5005263255499	0.494897633224367
AT3G62020	-0.539642803228214	0.920506514682082
AT3G62160	-0.377170128162301	0.824551076182147
AT4G00230	-0.44942803149496	0.629928083668848
AT4G02100	-0.249014553133249	0.547311777573917
AT4G04460	-0.170019324350937	0.721895464992816
AT4G08160	-0.427762426002752	0.687884106376885
AT4G11670	0.372393059921317	0.619022060497154
AT4G14920	0.0720082000219395	0.411943348212314
AT4G17020	0.0942540024787522	0.425259540161112
AT4G17620	0.61223202725935	0.541713772379379
AT4G18425	-0.551021481570882	0.686837938373976
AT4G18640	-0.279409720251537	0.469826987370395
AT4G18780	-0.41409786890322	0.86053133234711
AT4G20880	0.168432049934914	0.587492370107931
AT4G22140	0.187292067803596	0.47106037365517
AT4G24430	-0.308405086783406	0.496192452395509
AT4G25100	0.304816875307044	0.617830620939919
AT4G26965	0.38200095258833	0.372005972901216
AT4G27435	-0.305956911568179	0.756661415965216
AT4G33810	-0.547759408513402	0.763721382377951
AT4G35350	-0.545065731357005	0.908491879829073
AT4G38630	-0.160334995425739	0.520240429687252
AT4G39480	0.29172450974848	0.510066352683663
AT5G01190	-0.307359469665902	0.647616829218018
AT5G01930	-0.517482788752901	0.918767593547408
AT5G03170	-0.16647093903258	0.624645725236707
AT5G03260	-0.52768517333203	0.786640313211725
AT5G03510	-0.421155036841588	0.815208655834774
AT5G04200	-0.461030204442162	0.551911874305367
AT5G07080	-0.504481477153185	0.728003138123923
AT5G07800	-0.26735623434349	0.684426730623737
AT5G08590	0.460604584976435	0.635739251989285
AT5G12250	-0.390726634028664	0.356567274980563
AT5G15630	-0.375072750421473	0.731164301731043
AT5G17420	-0.38974489683963	0.838604504271929
AT5G18980	-0.631075069828261	0.588937498150212
AT5G25390	0.135655685044084	0.396609473406774
AT5G26330	-0.269010546703898	0.743892182615571
AT5G43010	0.420050024084845	0.484271274693822
AT5G43330	-0.374740794554331	0.450782666002648
AT5G44030	-0.31057432834623	0.827375645993208
AT5G48920	-0.439252697823605	0.588668689885792
AT5G51890	-0.219979827348146	0.520320912252436
AT5G54690	-0.275371231088426	0.750421570151976
AT5G56600	-0.334005885189697	0.693699133612355
